id,stop_id,name,linia,stop_type,geometry
B-V17-754,754,Pg Vall d'Hebron - L'Arrabassada,V17,Bus,POINT (2.1390620046 41.4186230024)
B-H4-754,754,Pg Vall d'Hebron - L'Arrabassada,H4,Bus,POINT (2.1390620046 41.4186230024)
B-H2-754,754,Pg Vall d'Hebron - L'Arrabassada,H2,Bus,POINT (2.1390620046 41.4186230024)
B-V17-605,605,Pg Vall d'Hebron - Av de Vallcarca,V17,Bus,POINT (2.1394150056 41.4184320012)
B-H4-605,605,Pg Vall d'Hebron - Av de Vallcarca,H4,Bus,POINT (2.1394150056 41.4184320012)
B-H2-605,605,Pg Vall d'Hebron - Av de Vallcarca,H2,Bus,POINT (2.1394150056 41.4184320012)
B-124-2453,2453,Anna Piferrer - Av Vallcarca,124,Bus,POINT (2.1407079973 41.4174029982)
B-19-9633,9633,"Pg. Vall d'hebron, 115",19,Bus,POINT (2.1414340043 41.4226340014)
B-27-9633,9633,"Pg. Vall d'hebron, 115",27,Bus,POINT (2.1414340043 41.4226340014)
B-H4-9633,9633,"Pg. Vall d'hebron, 115",H4,Bus,POINT (2.1414340043 41.4226340014)
B-19-2911,2911,Av Jorda - Hospital St Rafael,19,Bus,POINT (2.1414089998 41.4251089979)
B-76-2911,2911,Av Jorda - Hospital St Rafael,76,Bus,POINT (2.1414089998 41.4251089979)
B-88-110013,110013,Tram VI - Edifici TERSACO,88,Bus,POINT (2.1449460446 41.3402674062)
B-23-1323,1323,Pg  Zona Franca - Cisell,23,Bus,POINT (2.1431690025 41.3547679986)
B-109-1323,1323,Pg  Zona Franca - Cisell,109,Bus,POINT (2.1431690025 41.3547679986)
B-V3-1323,1323,Pg  Zona Franca - Cisell,V3,Bus,POINT (2.1431690025 41.3547679986)
B-H16-1323,1323,Pg  Zona Franca - Cisell,H16,Bus,POINT (2.1431690025 41.3547679986)
B-V5-1323,1323,Pg  Zona Franca - Cisell,V5,Bus,POINT (2.1431690025 41.3547679986)
B-125-2495,2495,Mare de Deu de Port - Cisell,125,Bus,POINT (2.144690004 41.3563240003)
B-V5-2495,2495,Mare de Deu de Port - Cisell,V5,Bus,POINT (2.144690004 41.3563240003)
B-13-1914,1914,Foc - Mare de Deu de Port,13,Bus,POINT (2.1440369968 41.3584170032)
B-23-1914,1914,Foc - Mare de Deu de Port,23,Bus,POINT (2.1440369968 41.3584170032)
B-V5-1914,1914,Foc - Mare de Deu de Port,V5,Bus,POINT (2.1440369968 41.3584170032)
B-13-1567,1567,Segura - Polvori,13,Bus,POINT (2.1433339983 41.3643749993)
B-125-1567,1567,Segura - Polvori,125,Bus,POINT (2.1433339983 41.3643749993)
B-13-1568,1568,Polvori - Cami de la Fuxarda,13,Bus,POINT (2.1449610052 41.3653820004)
B-27-1253,1253,Josep Tarradellas - Paris,27,Bus,POINT (2.142975999 41.3864099989)
B-59-1253,1253,Josep Tarradellas - Paris,59,Bus,POINT (2.142975999 41.3864099989)
