id,stop_id,name,linia,stop_type,geometry
SB-109,109,Numància - Marquès de Sentmenat,IU Stop,Bus,POINT (2.1374559943286395 41.38460700158861)
SB-110,110,Nicaragua - Josep Tarradellas,IU Stop,Bus,POINT (2.1418360054738814 41.38290299590532)
SB-114,114,Bifurcació - Ctra Nacional 152,IU Stop,Bus,POINT (2.1789617796236818 41.46693095971647)
SB-115,115,Ctra Nacional 152 - Bifurcació,IU Stop,Bus,POINT (2.178990994953336 41.4670710025809)
SB-118,118,Bolívar - Ballester,IU Stop,Bus,POINT (2.147711996838646 41.409253999672046)
SB-119,119,Av de Vallcarca - Pl Lesseps,IU Stop,Bus,POINT (2.1489510029833183 41.40859799658633)
SB-120,120,Av Riera de Cassoles - Rambla de Prat,IU Stop,Bus,POINT (2.1512299950951532 41.4015260008447)
SB-123,123,Arc de Triomf,IU Stop,Bus,POINT (2.1787179980896663 41.39127400400647)
SB-125,125,Metro Tetuan,IU Stop,Bus,POINT (2.1742190011435536 41.393789999271355)
SB-126,126,Mercat de la Concepció,IU Stop,Bus,POINT (2.1691089979307705 41.39698800246433)
SB-127,127,Segre - Pl de Can Fabra,IU Stop,Bus,POINT (2.191862004653198 41.435138004133414)
SB-128,128,Segre - Pl Orfila,IU Stop,Bus,POINT (2.191468004520367 41.435750002654935)
SB-129,129,Av de Vallcarca - Ballester,IU Stop,Bus,POINT (2.147621002678155 41.409625000799856)
SB-130,130,Pg Lluís Companys - Parc de la Ciutadella,IU Stop,Bus,POINT (2.183527995902255 41.389500996126046)
SB-133,133,Via Augusta - Pau Alcover,IU Stop,Bus,POINT (2.12593400132568 41.39843099778637)
SB-134,134,Pg Bonanova,IU Stop,Bus,POINT (2.1240379955583917 41.39994300399216)
SB-136,136,Josep Tarradellas - Av de Sarrià,IU Stop,Bus,POINT (2.144052998054572 41.39095800311765)
SB-137,137,Floridablanca - Viladomat,IU Stop,Bus,POINT (2.1581579970053095 41.37817100225228)
SB-138,138,València - Comte d'Urgell,IU Stop,Bus,POINT (2.154537005318992 41.38602000275879)
SB-139,139,Mallorca - Comte d'Urgell,IU Stop,Bus,POINT (2.1531190008859338 41.38679100315257)
SB-140,140,Paral·lel - Ronda Sant Pau,IU Stop,Bus,POINT (2.1671709990510752 41.37506200297803)
SB-146,146,Rosselló - Bruc,IU Stop,Bus,POINT (2.1637439960838596 41.39807499904345)
SB-148,148,Ronda Sant Pere - Girona,IU Stop,Bus,POINT (2.1759619972233786 41.39024899863415)
SB-149,149,Gran Via - Llúria,IU Stop,Bus,POINT (2.171674994015393 41.39187000410936)
SB-154,154,Pg Valldaura - Pg Andreu Nin,IU Stop,Bus,POINT (2.1825029988264624 41.43928000004163)
SB-156,156,Espronceda - Pl Islàndia,IU Stop,Bus,POINT (2.1882439968188216 41.417606001087705)
SB-159,159,Caracas - Potosí,IU Stop,Bus,POINT (2.2026929940039954 41.44406000174283)
SB-160,160,Badal - Canalejas,IU Stop,Bus,POINT (2.1310359983789278 41.373488996886486)
SB-161,161,Badal - Casteràs,IU Stop,Bus,POINT (2.1304559958262486 41.37504899629185)
SB-162,162,Sagrera - Múrcia,IU Stop,Bus,POINT (2.191487994007996 41.417652002246285)
SB-164,164,Santa Rosalia - Besòs,IU Stop,Bus,POINT (2.146679001016752 41.42168999614823)
SB-165,165,València - Villarroel,IU Stop,Bus,POINT (2.155607996359519 41.38683100352833)
SB-166,166,Mallorca - Muntaner,IU Stop,Bus,POINT (2.1567210034169846 41.38951199895145)
SB-167,167,Gran Via - Casanova,IU Stop,Bus,POINT (2.160999005294107 41.38425000091652)
SB-168,168,Diagonal - Francesc Macià,IU Stop,Bus,POINT (2.146355004332398 41.393117997108945)
SB-171,171,París - Casanova,IU Stop,Bus,POINT (2.149973999789219 41.39110099768703)
SB-172,172,Av. Pedralbes - Cavallers,IU Stop,Bus,POINT (2.1152409993752976 41.39305399572439)
SB-173,173,Villarroel - Aragó,IU Stop,Bus,POINT (2.156551004988856 41.38529099740502)
SB-174,174,Pau Claris - Aragó,IU Stop,Bus,POINT (2.1669889982216 41.392751003354)
SB-175,175,Balmes - Aragó,IU Stop,Bus,POINT (2.1623999953168203 41.38938000377548)
SB-179,179,Sants - Gayarre,IU Stop,Bus,POINT (2.1396619983457645 41.375257000756086)
SB-180,180,Creu Coberta - Pl Espanya,IU Stop,Bus,POINT (2.1475369954916723 41.375222003899644)
SB-181,181,Metro Hostafrancs,IU Stop,Bus,POINT (2.1445629959605297 41.37528100108431)
