id,stop_id,name,linia,stop_type,geometry
SB-172,172,Av. Pedralbes - Cavallers,IU Stop,Bus,POINT (2.1152409993752976 41.39305399572439)
SB-173,173,Villarroel - Aragó,IU Stop,Bus,POINT (2.156551004988856 41.38529099740502)
SB-174,174,Pau Claris - Aragó,IU Stop,Bus,POINT (2.1669889982216 41.392751003354)
SB-175,175,Balmes - Aragó,IU Stop,Bus,POINT (2.1623999953168203 41.38938000377548)
SB-179,179,Sants - Gayarre,IU Stop,Bus,POINT (2.1396619983457645 41.375257000756086)
SB-180,180,Creu Coberta - Pl Espanya,IU Stop,Bus,POINT (2.1475369954916723 41.375222003899644)
SB-181,181,Metro Hostafrancs,IU Stop,Bus,POINT (2.1445629959605297 41.37528100108431)
SB-182,182,Pg de Gràcia - Consell de Cent,IU Stop,Bus,POINT (2.1654300031081006 41.39161500244255)
SB-183,183,Gran Via - Ildefons Cerdà,IU Stop,Bus,POINT (2.136560005549156 41.365825999607644)
SB-199,199,Pg Zona Franca - Cisell,IU Stop,Bus,POINT (2.1429759985374326 41.35439599976107)
SB-200,200,Pg Zona Franca - Motors,IU Stop,Bus,POINT (2.145338998129743 41.351695002812086)
SB-204,204,Floridablanca - Av Mistral,IU Stop,Bus,POINT (2.156056005428932 41.37657700065967)
SB-206,206,Gran Via - Calàbria,IU Stop,Bus,POINT (2.1555120045282536 41.38011999977864)
SB-211,211,Via Laietana - Comtal,IU Stop,Bus,POINT (2.174463001930526 41.38709200253734)
SB-212,212,Indústria - Independència,IU Stop,Bus,POINT (2.1784749999664554 41.41260699677004)
SB-213,213,Pg de Sant Joan - Còrsega,IU Stop,Bus,POINT (2.165947629935785 41.4024280399149)
SB-214,214,Casanova - Hospital Clínic,IU Stop,Bus,POINT (2.152571002234539 41.39043899771348)
SB-216,216,Padilla - Provença,IU Stop,Bus,POINT (2.1762244094290444 41.40649654928444)
SB-217,217,Josep Tarradellas - Rosselló,IU Stop,Bus,POINT (2.142700996420627 41.382887996901545)
SB-220,220,Independència - Freser,IU Stop,Bus,POINT (2.179502998066063 41.41080900025288)
SB-221,221,Balmes - Rosselló,IU Stop,Bus,POINT (2.1568830035766244 41.39356000371346)
SB-226,226,Pau Claris - Gran Via,IU Stop,Bus,POINT (2.1693740045466305 41.390946000440834)
SB-227,227,Marina - Ausiàs Marc,IU Stop,Bus,POINT (2.1843228492803943 41.39690290981445)
SB-230,230,Llúria - Urquinaona,IU Stop,Bus,POINT (2.1728369996082826 41.39018699711523)
SB-231,231,Ronda Guineueta Vella - Antonio Machado,IU Stop,Bus,POINT (2.1620560021833697 41.44153699903565)
SB-232,232,Pl Karl Marx - Pg Vall d'Hebron,IU Stop,Bus,POINT (2.1617210038494017 41.440676997446936)
SB-233,233,Sant Antoni Maria Claret - Independència,IU Stop,Bus,POINT (2.176982002458418 41.41325699749608)
SB-234,234,Mallorca - Dos de Maig,IU Stop,Bus,POINT (2.180416997838099 41.40731100157042)
SB-236,236,Aragó - Enamorats,IU Stop,Bus,POINT (2.1829550054294886 41.405833999623475)
SB-237,237,Diagonal - Pl Reina Maria Cristina,IU Stop,Bus,POINT (2.1274302594852137 41.38848222996782)
SB-239,239,Manuel Girona - Carles III,IU Stop,Bus,POINT (2.128123000169094 41.39212699946447)
SB-243,243,Av Gaudí - Castillejos,IU Stop,Bus,POINT (2.1734800005739268 41.41061999558079)
SB-244,244,València - Padilla,IU Stop,Bus,POINT (2.1794030040791723 41.40468800050055)
SB-245,245,Pl de la Font Castellana,IU Stop,Bus,POINT (2.1668819966814685 41.41516400138154)
SB-247,247,Metro Glòries,IU Stop,Bus,POINT (2.1870925597179918 41.402431089947754)
SB-250,250,Diagonal - Manuel Ballbé,IU Stop,Bus,POINT (2.1100760101783558 41.384080219994516)
SB-252,252,Portal de la Pau,IU Stop,Bus,POINT (2.1785409965971176 41.37669500026655)
SB-253,253,Moll de la Fusta,IU Stop,Bus,POINT (2.180277998213883 41.378844999791646)
SB-254,254,Pg Colom - Via Laietana,IU Stop,Bus,POINT (2.1819211197441337 41.38088678952919)
SB-255,255,Pg Colom - Via Laietana,IU Stop,Bus,POINT (2.181714688944227 41.38074582939776)
SB-256,256,Moll de la Fusta,IU Stop,Bus,POINT (2.1803789962424123 41.37909800203089)
SB-257,257,Portal de la Pau,IU Stop,Bus,POINT (2.178442000321652 41.37670000428282)
SB-258,258,Pg Santa Coloma - Pg Torras i Bages,IU Stop,Bus,POINT (2.1891610006157576 41.444686002371654)
SB-259,259,Ctra Nacional 152 - Av l'Alzinar,IU Stop,Bus,POINT (2.183157006004366 41.46090999628797)
SB-262,262,Av República Argentina - Baixada Gomis,IU Stop,Bus,POINT (2.1424360016088544 41.411608997904416)
SB-264,264,Av Ferrer i Guàrdia - Mèxic,IU Stop,Bus,POINT (2.149874999401543 41.37116799784746)
SB-265,265,Poble Espanyol,IU Stop,Bus,POINT (2.146282996917801 41.369413004040155)
SB-273,273,Hospital del Mar,IU Stop,Bus,POINT (2.1950210023215417 41.383580003728504)
SB-281,281,Pg de Gràcia - Diagonal,IU Stop,Bus,POINT (2.1601250020105565 41.39613999634887)
SB-282,282,Casanova - Diagonal,IU Stop,Bus,POINT (2.148577001550876 41.39318100254519)
SB-286,286,Via Augusta - Diagonal,IU Stop,Bus,POINT (2.155035996796164 41.396420998440334)
SB-287,287,Calvet - Diagonal,IU Stop,Bus,POINT (2.144983003659208 41.39346000296257)
SB-291,291,Carles III - Mejía Lequerica,IU Stop,Bus,POINT (2.1275190031973965 41.38524000079196)
SB-295,295,González Tablas - Sor Eulàlia d'Anzizu,IU Stop,Bus,POINT (2.1088590013125663 41.385765002004774)
SB-297,297,Av Pedralbes - Pg Manuel Girona,IU Stop,Bus,POINT (2.1189359981953735 41.390002004246846)
SB-300,300,Pujades - Ciutat de Granada,IU Stop,Bus,POINT (2.196766997646853 41.39877999652986)
SB-306,306,Pg Verdum - Doctor Pi i Molist,IU Stop,Bus,POINT (2.172375003380434 41.43586900353616)
SB-307,307,Av Gaudí,IU Stop,Bus,POINT (2.1751540028661562 41.4100320031327)
SB-308,308,València - Dos de Maig,IU Stop,Bus,POINT (2.1818039949640005 41.40648799640799)
SB-310,310,Diagonal - Av Doctor Marañón,IU Stop,Bus,POINT (2.1116120041899697 41.38422200355385)
SB-313,313,Pg de Gràcia - Gran Via,IU Stop,Bus,POINT (2.1675600045190624 41.39013799673378)
SB-315,315,Pg de Sant Joan - Diputació,IU Stop,Bus,POINT (2.174671001746342 41.39541899712183)
SB-316,316,Aribau - Gran Via,IU Stop,Bus,POINT (2.162533005903802 41.38604199694226)
SB-317,317,Pl Tetuan - Pg de Sant Joan,IU Stop,Bus,POINT (2.1752719974322017 41.3954710012137)
SB-319,319,Entença - Gran Via,IU Stop,Bus,POINT (2.1523500030745595 41.37837399936969)
SB-321,321,Llúria - Gran Via,IU Stop,Bus,POINT (2.1704230021576665 41.392008995569356)
SB-327,327,Pare Manyanet - Virgili,IU Stop,Bus,POINT (2.1942570001894848 41.428153997859475)
SB-328,328,Meridiana - Pegaso,IU Stop,Bus,POINT (2.1864900000463847 41.425401001384756)
SB-336,336,Balmes - Via Augusta,IU Stop,Bus,POINT (2.147888005727081 41.4008600018209)
SB-337,337,València - Muntanya,IU Stop,Bus,POINT (2.1880889991748598 41.411226003463675)
SB-342,342,Cementiri de l'Est,IU Stop,Bus,POINT (2.202388003140805 41.394275002386564)
SB-343,343,Pl de Sant Jordi,IU Stop,Bus,POINT (2.144752004515101 41.3663280040724)
SB-362,362,Meridiana - Escòcia,IU Stop,Bus,POINT (2.183648005720055 41.42914300385431)
SB-365,365,Lletres - Dante Alighieri,IU Stop,Bus,POINT (2.157915000707638 41.42793599871785)
SB-366,366,Pl de l'Estatut,IU Stop,Bus,POINT (2.1552549986265923 41.430511001110155)
SB-368,368,Trav de Dalt - Torrent de les Flors,IU Stop,Bus,POINT (2.156636001748346 41.410459998571504)
SB-369,369,Pi i Margall - Escorial,IU Stop,Bus,POINT (2.1631649944276266 41.40665400412001)
SB-370,370,Pg Maragall - Amílcar,IU Stop,Bus,POINT (2.173041999614413 41.42639699628192)
