origen,dest,tram,linia,type,length,speed,time,directed,geometry
F-S1-PR,F-S1-GR,Diagonal - Gràcia,S1,FGC,840.6446674227542,6.944444444444445,02:01,False,"LINESTRING (2.158052267605229 41.39284244094162, 2.1561499999999993 41.394290999999996, 2.15584 41.39471100000001, 2.15571 41.395019999999995, 2.15564 41.39537, 2.1553899999999997 41.39587000000001, 2.15473 41.396930999999995, 2.15347 41.398300000000006, 2.1526649331316006 41.399100851858606)"
F-S1-GR,F-S1-SG,Gràcia - Sant Gervasi,S1,FGC,556.7869058147008,6.944444444444445,01:20,False,"LINESTRING (2.1526649331316006 41.399100851858606, 2.15156 41.4002, 2.1512000000000007 41.400471, 2.1507799999999997 41.4007, 2.1501 41.400969999999994, 2.14955 41.40111199999998, 2.14898 41.401192, 2.14772 41.401211, 2.1472 41.401149999999994, 2.1471184304647544 41.40113058645063)"
F-S1-SG,F-S1-MN,Sant Gervasi - Muntaner,S1,FGC,495.1561267813148,6.944444444444445,01:11,False,"LINESTRING (2.1471184304647544 41.40113058645063, 2.1467 41.401031, 2.14615 41.400791000000005, 2.1430500000000006 41.398842, 2.142333959093278 41.398556770445445)"
F-S1-MN,F-S1-BN,Muntaner - La Bonanova,S1,FGC,508.45881719504814,6.944444444444445,01:13,False,"LINESTRING (2.142333959093278 41.398556770445445, 2.14124 41.398120999999996, 2.13993 41.397881, 2.1364337574297405 41.397866706285484)"
F-S1-BN,F-S1-TT,La Bonanova - Les Tres Torres,S1,FGC,470.0109264077042,6.944444444444445,01:07,False,"LINESTRING (2.1364337574297405 41.397866706285484, 2.130811644970723 41.397843721361276)"
F-S1-TT,F-S1-SR,Les Tres Torres - Sarrià,S1,FGC,458.22893664678605,6.944444444444445,01:05,False,"LINESTRING (2.130811644970723 41.397843721361276, 2.1277000000000004 41.397831, 2.12693 41.39793, 2.12635 41.39813999999999, 2.1256943810236795 41.39865231428203)"
F-S1-SR,F-S1-PF,Sarrià - Peu del Funicular,S1,FGC,2155.147214666191,6.944444444444445,05:10,False,"LINESTRING (2.1256943810236795 41.39865231428203, 2.12452 41.39957, 2.12427 41.399840999999995, 2.12413 41.40016200000001, 2.1240600000000005 41.400761, 2.12411 41.40113099999999, 2.1244200000000006 41.401711, 2.12461 41.401931999999995, 2.1247 41.40242, 2.12467 41.402739999999994, 2.1243399999999997 41.40332000000001, 2.1239699999999995 41.40353000000001, 2.12377 41.403721, 2.1233100000000005 41.404239999999994, 2.1230500000000005 41.404621, 2.1226099999999994 41.40588, 2.12255 41.406471, 2.1222899999999996 41.4072, 2.1220900000000005 41.407501, 2.12197 41.407581, 2.1216700000000004 41.40769999999999, 2.12019 41.40749, 2.11908 41.407242, 2.1184 41.40694000000001, 2.1179600000000005 41.406811, 2.1170200000000006 41.406651, 2.1159300000000005 41.40662, 2.115610000000001 41.406651, 2.1151300000000006 41.406651000000004, 2.11423 41.40687199999999, 2.1137399999999995 41.407162, 2.11251 41.40848200000001, 2.11216 41.40871, 2.11187 41.408821, 2.1114399999999995 41.4091, 2.1112444649896966 41.40928328834388)"
F-S1-PF,F-S1-VL,Peu del Funicular - Baixador de Vallvidrera,S1,FGC,1698.8398865063255,6.944444444444445,04:04,False,"LINESTRING (2.1112444649896966 41.40928328834388, 2.1095400000000004 41.410880999999996, 2.1057999999999995 41.41413100000001, 2.1052600000000004 41.414551, 2.1014900000000005 41.417010999999995, 2.0982699999999994 41.419200999999994, 2.0971200000000003 41.419909999999994, 2.0969271773588725 41.42008375703167)"
F-S1-VL,F-S1-LP,Baixador de Vallvidrera - Les Planes,S1,FGC,933.3535796063329,6.944444444444445,02:14,False,"LINESTRING (2.0969271773588725 41.42008375703167, 2.09623 41.42071200000001, 2.09482 41.42219200000001, 2.0942100000000003 41.42291999999999, 2.0930300000000006 41.42473999999999, 2.0921500000000006 41.42627, 2.0917141279946665 41.42743864233314)"
F-S1-LP,F-S1-LF,Les Planes - La Floresta,S1,FGC,2800.046923020424,6.944444444444445,06:43,False,"LINESTRING (2.0917141279946665 41.42743864233314, 2.0914600000000005 41.42811999999999, 2.0913400000000006 41.428371, 2.0908900000000004 41.428920999999995, 2.0894400000000006 41.42945099999999, 2.0876200000000003 41.429241, 2.08707 41.42923, 2.0866999999999996 41.42929099999999, 2.0863499999999995 41.429401, 2.0845600000000006 41.43104199999999, 2.08417 41.43146099999999, 2.0835300000000005 41.43189999999999, 2.08293 41.43215199999999, 2.08095 41.43252199999999, 2.08039 41.432732, 2.07986 41.433102, 2.0797100000000004 41.433361, 2.0749900000000006 41.43944199999999, 2.07285 41.44091, 2.07253 41.441230999999995, 2.0723100000000003 41.44161999999999, 2.0721999999999996 41.442081, 2.0731300000000004 41.44462999999999, 2.0732373128046246 41.44483722472616)"
F-S1-LF,F-S1-VD,La Floresta - Valldoreix,S1,FGC,1688.3636775153575,6.944444444444445,04:03,False,"LINESTRING (2.0732373128046246 41.44483722472616, 2.0734200000000005 41.44519, 2.0743099999999997 41.446251, 2.0746900000000004 41.44662099999999, 2.0750100000000002 41.44717000000001, 2.0753300000000006 41.44827999999999, 2.0751100000000005 41.44948999999999, 2.07463 41.45025999999999, 2.07363 41.45117999999999, 2.07055 41.453411, 2.0698299999999996 41.454021000000004, 2.06895 41.455051, 2.0684800000000005 41.45618100000001, 2.0683 41.45716099999999, 2.0683264078305874 41.45784100163763)"
