,origen,dest,tram,linia,type,geometry,length,speed,time,directed
16,B-D20-1185,B-D20-180,Paral·lel - Av Mistral - Creu Coberta - Pl Espanya,D20,Bus,"LINESTRING (2.152628630230191 41.37507312327304, 2.1521473700000002 41.375074989999995, 2.1520178699999994 41.375086120000006, 2.15180978 41.37511955, 2.1513910500000004 41.37515981, 2.15002615 41.37515922999999, 2.1498785300000005 41.375167559999994, 2.1497386100000004 41.37520396, 2.14967446 41.37523200999999, 2.14961563 41.37526604, 2.14948736 41.3753671, 2.1493660900000013 41.37542948999999, 2.149298430000001 41.3754513, 2.14915478 41.37547430000001, 2.1490081000000005 41.37546870999999, 2.1489367200000005 41.375455239999994, 2.1488038799999996 41.37540808000001, 2.148684489999999 41.37533083, 2.1484886100000002 41.375250079999994, 2.14827734 41.375195649999995, 2.14815605 41.37518686, 2.1475362095235746 41.37519874667935)",445.0615885424678,3.333333333333333,2.2253079427123392,True
17,B-D20-180,B-D20-181,Creu Coberta - Pl Espanya - Metro Hostafrancs,D20,Bus,"LINESTRING (2.1475362095235746 41.37519874667935, 2.1445621432152486 41.375255733820374)",248.79573721384065,3.333333333333333,1.2439786860692033,True
18,B-D20-181,B-D20-1365,Metro Hostafrancs - Sants - Premià,D20,Bus,"LINESTRING (2.1445621432152486 41.375255733820374, 2.1393110306659446 41.37535616426392)",439.28141583131116,3.333333333333333,2.196407079156556,True
19,B-D20-1365,B-D20-1364,Sants - Premià - Metro Pl de Sants,D20,Bus,"LINESTRING (2.1393110306659446 41.37535616426392, 2.136602983300115 41.37540786336146)",226.54109937516404,3.333333333333333,1.1327054968758203,True
20,B-D20-1364,B-D20-1767,Metro Pl de Sants - Pl de Sants,D20,Bus,"LINESTRING (2.136602983300115 41.37540786336146, 2.13631644 41.37541333, 2.1354093900000004 41.37543846999999, 2.1342691522263957 41.375454237763435)",195.24844662912244,3.333333333333333,0.9762422331456123,True
21,B-D20-1767,B-D20-1768,Pl de Sants - Sants - Rambla del Brasil,D20,Bus,"LINESTRING (2.1342691522263957 41.375454237763435, 2.1342646500000004 41.375454299999994, 2.131027897413274 41.37552731969485)",271.1806038550606,3.333333333333333,1.3559030192753032,True
22,B-D20-1768,B-D20-1756,Sants - Rambla del Brasil - Metro Badal,D20,Bus,"LINESTRING (2.131027897413274 41.37552731969485, 2.1288962 41.37557535999998, 2.128796340522906 41.375576919444875)",186.70176655408076,3.333333333333333,0.9335088327704039,True
23,B-D20-1756,B-D20-856,Metro Badal - Arizala - Av Madrid,D20,Bus,"LINESTRING (2.128796340522906 41.375576919444875, 2.12727478 41.37560066999998, 2.1253289 41.375642259999985, 2.1252720500000004 41.37566454, 2.1252434400000006 41.375707730000016, 2.1252532900000003 41.37607376, 2.1252438300000005 41.37613748999999, 2.1252169900000006 41.376198339999995, 2.1250692599999996 41.37640675, 2.125066979309951 41.376410226518935)",382.3309611487079,3.333333333333333,1.9116548057435396,True
24,B-D20-856,B-D20-1373,Arizala - Av Madrid - Arizala - Les Corts,D20,Bus,"LINESTRING (2.125066979309951 41.376410226518935, 2.1236557250665173 41.37856135916147)",266.39549863750443,3.333333333333333,1.3319774931875223,True
25,B-D20-1373,B-D20-9637,Arizala - Les Corts - Collblanc,D20,Bus,"LINESTRING (2.1236557250665173 41.37856135916147, 2.1233212800000003 41.37907112, 2.12326803 41.379112809999995, 2.12319491 41.37913052999998, 2.12311936 41.379120019999995, 2.12308643 41.37910470999999, 2.1216075400000003 41.37813177, 2.12108545 41.377766419999986, 2.1198306800000006 41.37702319, 2.119369353143185 41.376746078339565)",492.2676087762356,3.333333333333333,2.4613380438811783,True
