origen,dest,tram,mode,lines,type,time,directed,geometry
SB-313,B-V17-226,Pg de Gràcia - Gran Via - Pau Claris - Gran Via,Bus - Bus,IU Stop - V17,Exchange,04:21,True,"LINESTRING (2.167301 41.3903945, 2.1678418 41.3899701, 2.1681323 41.3897405, 2.1681741 41.389767, 2.1682707 41.389832, 2.1683986 41.3898301, 2.1686289 41.3899874, 2.1687039 41.3900406, 2.1693423 41.390522, 2.1695037 41.3906431, 2.1694983 41.3906941, 2.1694939 41.3907361, 2.1695593 41.3907779, 2.1687723 41.3913835)"
SB-321,B-V17-226,Llúria - Gran Via - Pau Claris - Gran Via,Bus - Bus,IU Stop - V17,Exchange,03:53,True,"LINESTRING (2.1700306 41.3923297, 2.1700788 41.3922914, 2.1708431 41.391732, 2.1708243 41.3917173, 2.1707702 41.3916812, 2.1707453 41.3916634, 2.1707339 41.3916556, 2.1707146 41.3916413, 2.1705963 41.3914725, 2.1704259 41.3913386, 2.1700288 41.391037, 2.1698837 41.390928, 2.1698052 41.3909258, 2.1697827 41.3909129, 2.1696994 41.390867, 2.1696782 41.3908506, 2.1696668 41.3908417, 2.1696202 41.3908168, 2.1695593 41.3907779, 2.1687723 41.3913835)"
SB-577,B-V17-226,Metro Pg de Gràcia - Pau Claris - Gran Via,Bus - Bus,IU Stop - V17,Exchange,04:39,True,"LINESTRING (2.1670308 41.3902078, 2.1676022 41.3897442, 2.1676871 41.3896748, 2.1678449 41.3895457, 2.1678588 41.3895559, 2.167929 41.389603, 2.1679636 41.3896301, 2.1680488 41.3896877, 2.1681323 41.3897405, 2.1681741 41.389767, 2.1682707 41.389832, 2.1683986 41.3898301, 2.1686289 41.3899874, 2.1687039 41.3900406, 2.1693423 41.390522, 2.1695037 41.3906431, 2.1694983 41.3906941, 2.1694939 41.3907361, 2.1695593 41.3907779, 2.1687723 41.3913835)"
B-7-149,B-V17-226,Gran Via - Llúria - Pau Claris - Gran Via,Bus - Bus,7 - V17,Exchange,04:33,True,"LINESTRING (2.1716863 41.3918869, 2.1716211 41.3918346, 2.1715676 41.3917904, 2.171498 41.3917272, 2.1714287 41.3916619, 2.1714136 41.3916454, 2.17137 41.3916732, 2.1712794 41.3917343, 2.1712697 41.3917294, 2.1711605 41.3916631, 2.1709769 41.3915294, 2.1709438 41.3915055, 2.1708831 41.3915482, 2.1708561 41.391529, 2.1708347 41.3915391, 2.1708192 41.3915424, 2.1708006 41.3915359, 2.1706569 41.3914278, 2.1706465 41.3914363, 2.17063 41.3914472, 2.1699266 41.3909191, 2.1698673 41.390876, 2.1698507 41.3908885, 2.1697816 41.3908369, 2.1697593 41.3908272, 2.1697288 41.3908268, 2.1697074 41.3908328, 2.1696782 41.3908506, 2.1696668 41.3908417, 2.1696202 41.3908168, 2.1695593 41.3907779, 2.1687723 41.3913835)"
B-H12-149,B-V17-226,Gran Via - Llúria - Pau Claris - Gran Via,Bus - Bus,H12 - V17,Exchange,04:33,True,"LINESTRING (2.1716863 41.3918869, 2.1716211 41.3918346, 2.1715676 41.3917904, 2.171498 41.3917272, 2.1714287 41.3916619, 2.1714136 41.3916454, 2.17137 41.3916732, 2.1712794 41.3917343, 2.1712697 41.3917294, 2.1711605 41.3916631, 2.1709769 41.3915294, 2.1709438 41.3915055, 2.1708831 41.3915482, 2.1708561 41.391529, 2.1708347 41.3915391, 2.1708192 41.3915424, 2.1708006 41.3915359, 2.1706569 41.3914278, 2.1706465 41.3914363, 2.17063 41.3914472, 2.1699266 41.3909191, 2.1698673 41.390876, 2.1698507 41.3908885, 2.1697816 41.3908369, 2.1697593 41.3908272, 2.1697288 41.3908268, 2.1697074 41.3908328, 2.1696782 41.3908506, 2.1696668 41.3908417, 2.1696202 41.3908168, 2.1695593 41.3907779, 2.1687723 41.3913835)"
B-D50-149,B-V17-226,Gran Via - Llúria - Pau Claris - Gran Via,Bus - Bus,D50 - V17,Exchange,04:33,True,"LINESTRING (2.1716863 41.3918869, 2.1716211 41.3918346, 2.1715676 41.3917904, 2.171498 41.3917272, 2.1714287 41.3916619, 2.1714136 41.3916454, 2.17137 41.3916732, 2.1712794 41.3917343, 2.1712697 41.3917294, 2.1711605 41.3916631, 2.1709769 41.3915294, 2.1709438 41.3915055, 2.1708831 41.3915482, 2.1708561 41.391529, 2.1708347 41.3915391, 2.1708192 41.3915424, 2.1708006 41.3915359, 2.1706569 41.3914278, 2.1706465 41.3914363, 2.17063 41.3914472, 2.1699266 41.3909191, 2.1698673 41.390876, 2.1698507 41.3908885, 2.1697816 41.3908369, 2.1697593 41.3908272, 2.1697288 41.3908268, 2.1697074 41.3908328, 2.1696782 41.3908506, 2.1696668 41.3908417, 2.1696202 41.3908168, 2.1695593 41.3907779, 2.1687723 41.3913835)"
B-39-174,B-V17-226,Pau Claris - Aragó - Pau Claris - Gran Via,Bus - Bus,39 - V17,Exchange,04:49,True,"LINESTRING (2.1665406 41.393062, 2.1665765 41.3930424, 2.1671916 41.3925781, 2.1672516 41.3926151, 2.1673331 41.3925577, 2.1674876 41.3924363, 2.1675214 41.3924106, 2.1676327 41.3923319, 2.1676457 41.3923208, 2.167672 41.3923004, 2.1680461 41.3920121, 2.1681309 41.3919477, 2.168338 41.3917905, 2.1683503 41.3917811, 2.1683924 41.3917491, 2.1685746 41.3916108, 2.1686124 41.3915821, 2.1688266 41.3914193, 2.1687723 41.3913835, 2.1695593 41.3907779)"
B-47-174,B-V17-226,Pau Claris - Aragó - Pau Claris - Gran Via,Bus - Bus,47 - V17,Exchange,04:49,True,"LINESTRING (2.1665406 41.393062, 2.1665765 41.3930424, 2.1671916 41.3925781, 2.1672516 41.3926151, 2.1673331 41.3925577, 2.1674876 41.3924363, 2.1675214 41.3924106, 2.1676327 41.3923319, 2.1676457 41.3923208, 2.167672 41.3923004, 2.1680461 41.3920121, 2.1681309 41.3919477, 2.168338 41.3917905, 2.1683503 41.3917811, 2.1683924 41.3917491, 2.1685746 41.3916108, 2.1686124 41.3915821, 2.1688266 41.3914193, 2.1687723 41.3913835, 2.1695593 41.3907779)"
B-B24-174,B-V17-226,Pau Claris - Aragó - Pau Claris - Gran Via,Bus - Bus,B24 - V17,Exchange,04:49,True,"LINESTRING (2.1665406 41.393062, 2.1665765 41.3930424, 2.1671916 41.3925781, 2.1672516 41.3926151, 2.1673331 41.3925577, 2.1674876 41.3924363, 2.1675214 41.3924106, 2.1676327 41.3923319, 2.1676457 41.3923208, 2.167672 41.3923004, 2.1680461 41.3920121, 2.1681309 41.3919477, 2.168338 41.3917905, 2.1683503 41.3917811, 2.1683924 41.3917491, 2.1685746 41.3916108, 2.1686124 41.3915821, 2.1688266 41.3914193, 2.1687723 41.3913835, 2.1695593 41.3907779)"
B-V17-174,B-V17-226,Pau Claris - Aragó - Pau Claris - Gran Via,Bus - Bus,V17 - V17,Exchange,04:49,True,"LINESTRING (2.1665406 41.393062, 2.1665765 41.3930424, 2.1671916 41.3925781, 2.1672516 41.3926151, 2.1673331 41.3925577, 2.1674876 41.3924363, 2.1675214 41.3924106, 2.1676327 41.3923319, 2.1676457 41.3923208, 2.167672 41.3923004, 2.1680461 41.3920121, 2.1681309 41.3919477, 2.168338 41.3917905, 2.1683503 41.3917811, 2.1683924 41.3917491, 2.1685746 41.3916108, 2.1686124 41.3915821, 2.1688266 41.3914193, 2.1687723 41.3913835, 2.1695593 41.3907779)"
B-7-313,B-V17-226,Pg de Gràcia - Gran Via - Pau Claris - Gran Via,Bus - Bus,7 - V17,Exchange,04:21,True,"LINESTRING (2.167301 41.3903945, 2.1678418 41.3899701, 2.1681323 41.3897405, 2.1681741 41.389767, 2.1682707 41.389832, 2.1683986 41.3898301, 2.1686289 41.3899874, 2.1687039 41.3900406, 2.1693423 41.390522, 2.1695037 41.3906431, 2.1694983 41.3906941, 2.1694939 41.3907361, 2.1695593 41.3907779, 2.1687723 41.3913835)"
B-22-313,B-V17-226,Pg de Gràcia - Gran Via - Pau Claris - Gran Via,Bus - Bus,22 - V17,Exchange,04:21,True,"LINESTRING (2.167301 41.3903945, 2.1678418 41.3899701, 2.1681323 41.3897405, 2.1681741 41.389767, 2.1682707 41.389832, 2.1683986 41.3898301, 2.1686289 41.3899874, 2.1687039 41.3900406, 2.1693423 41.390522, 2.1695037 41.3906431, 2.1694983 41.3906941, 2.1694939 41.3907361, 2.1695593 41.3907779, 2.1687723 41.3913835)"
B-24-313,B-V17-226,Pg de Gràcia - Gran Via - Pau Claris - Gran Via,Bus - Bus,24 - V17,Exchange,04:21,True,"LINESTRING (2.167301 41.3903945, 2.1678418 41.3899701, 2.1681323 41.3897405, 2.1681741 41.389767, 2.1682707 41.389832, 2.1683986 41.3898301, 2.1686289 41.3899874, 2.1687039 41.3900406, 2.1693423 41.390522, 2.1695037 41.3906431, 2.1694983 41.3906941, 2.1694939 41.3907361, 2.1695593 41.3907779, 2.1687723 41.3913835)"
B-V15-313,B-V17-226,Pg de Gràcia - Gran Via - Pau Claris - Gran Via,Bus - Bus,V15 - V17,Exchange,04:21,True,"LINESTRING (2.167301 41.3903945, 2.1678418 41.3899701, 2.1681323 41.3897405, 2.1681741 41.389767, 2.1682707 41.389832, 2.1683986 41.3898301, 2.1686289 41.3899874, 2.1687039 41.3900406, 2.1693423 41.390522, 2.1695037 41.3906431, 2.1694983 41.3906941, 2.1694939 41.3907361, 2.1695593 41.3907779, 2.1687723 41.3913835)"
B-39-321,B-V17-226,Llúria - Gran Via - Pau Claris - Gran Via,Bus - Bus,39 - V17,Exchange,03:53,True,"LINESTRING (2.1700306 41.3923297, 2.1700788 41.3922914, 2.1708431 41.391732, 2.1708243 41.3917173, 2.1707702 41.3916812, 2.1707453 41.3916634, 2.1707339 41.3916556, 2.1707146 41.3916413, 2.1705963 41.3914725, 2.1704259 41.3913386, 2.1700288 41.391037, 2.1698837 41.390928, 2.1698052 41.3909258, 2.1697827 41.3909129, 2.1696994 41.390867, 2.1696782 41.3908506, 2.1696668 41.3908417, 2.1696202 41.3908168, 2.1695593 41.3907779, 2.1687723 41.3913835)"
B-47-321,B-V17-226,Llúria - Gran Via - Pau Claris - Gran Via,Bus - Bus,47 - V17,Exchange,03:53,True,"LINESTRING (2.1700306 41.3923297, 2.1700788 41.3922914, 2.1708431 41.391732, 2.1708243 41.3917173, 2.1707702 41.3916812, 2.1707453 41.3916634, 2.1707339 41.3916556, 2.1707146 41.3916413, 2.1705963 41.3914725, 2.1704259 41.3913386, 2.1700288 41.391037, 2.1698837 41.390928, 2.1698052 41.3909258, 2.1697827 41.3909129, 2.1696994 41.390867, 2.1696782 41.3908506, 2.1696668 41.3908417, 2.1696202 41.3908168, 2.1695593 41.3907779, 2.1687723 41.3913835)"
B-B24-321,B-V17-226,Llúria - Gran Via - Pau Claris - Gran Via,Bus - Bus,B24 - V17,Exchange,03:53,True,"LINESTRING (2.1700306 41.3923297, 2.1700788 41.3922914, 2.1708431 41.391732, 2.1708243 41.3917173, 2.1707702 41.3916812, 2.1707453 41.3916634, 2.1707339 41.3916556, 2.1707146 41.3916413, 2.1705963 41.3914725, 2.1704259 41.3913386, 2.1700288 41.391037, 2.1698837 41.390928, 2.1698052 41.3909258, 2.1697827 41.3909129, 2.1696994 41.390867, 2.1696782 41.3908506, 2.1696668 41.3908417, 2.1696202 41.3908168, 2.1695593 41.3907779, 2.1687723 41.3913835)"
B-V17-321,B-V17-226,Llúria - Gran Via - Pau Claris - Gran Via,Bus - Bus,V17 - V17,Exchange,03:53,True,"LINESTRING (2.1700306 41.3923297, 2.1700788 41.3922914, 2.1708431 41.391732, 2.1708243 41.3917173, 2.1707702 41.3916812, 2.1707453 41.3916634, 2.1707339 41.3916556, 2.1707146 41.3916413, 2.1705963 41.3914725, 2.1704259 41.3913386, 2.1700288 41.391037, 2.1698837 41.390928, 2.1698052 41.3909258, 2.1697827 41.3909129, 2.1696994 41.390867, 2.1696782 41.3908506, 2.1696668 41.3908417, 2.1696202 41.3908168, 2.1695593 41.3907779, 2.1687723 41.3913835)"
B-22-577,B-V17-226,Metro Pg de Gràcia - Pau Claris - Gran Via,Bus - Bus,22 - V17,Exchange,04:39,True,"LINESTRING (2.1670308 41.3902078, 2.1676022 41.3897442, 2.1676871 41.3896748, 2.1678449 41.3895457, 2.1678588 41.3895559, 2.167929 41.389603, 2.1679636 41.3896301, 2.1680488 41.3896877, 2.1681323 41.3897405, 2.1681741 41.389767, 2.1682707 41.389832, 2.1683986 41.3898301, 2.1686289 41.3899874, 2.1687039 41.3900406, 2.1693423 41.390522, 2.1695037 41.3906431, 2.1694983 41.3906941, 2.1694939 41.3907361, 2.1695593 41.3907779, 2.1687723 41.3913835)"
B-24-577,B-V17-226,Metro Pg de Gràcia - Pau Claris - Gran Via,Bus - Bus,24 - V17,Exchange,04:39,True,"LINESTRING (2.1670308 41.3902078, 2.1676022 41.3897442, 2.1676871 41.3896748, 2.1678449 41.3895457, 2.1678588 41.3895559, 2.167929 41.389603, 2.1679636 41.3896301, 2.1680488 41.3896877, 2.1681323 41.3897405, 2.1681741 41.389767, 2.1682707 41.389832, 2.1683986 41.3898301, 2.1686289 41.3899874, 2.1687039 41.3900406, 2.1693423 41.390522, 2.1695037 41.3906431, 2.1694983 41.3906941, 2.1694939 41.3907361, 2.1695593 41.3907779, 2.1687723 41.3913835)"
SB-38,B-6-227,Marina - Ribes - Marina - Ausiàs Marc,Bus - Bus,IU Stop - 6,Exchange,02:52,True,"LINESTRING (2.1827784 41.3977843, 2.183301 41.3973866, 2.1833437 41.3974174, 2.1834224 41.3974689, 2.183456 41.3974418, 2.1836148 41.3973189, 2.1836374 41.3973012, 2.1837763 41.3972408, 2.183817 41.3972179, 2.1838546 41.3972452, 2.1838978 41.3972766, 2.1843067 41.3969251, 2.1846386 41.3966733)"
B-6-38,B-6-227,Marina - Ribes - Marina - Ausiàs Marc,Bus - Bus,6 - 6,Exchange,02:52,True,"LINESTRING (2.1827784 41.3977843, 2.183301 41.3973866, 2.1833437 41.3974174, 2.1834224 41.3974689, 2.183456 41.3974418, 2.1836148 41.3973189, 2.1836374 41.3973012, 2.1837763 41.3972408, 2.183817 41.3972179, 2.1838546 41.3972452, 2.1838978 41.3972766, 2.1843067 41.3969251, 2.1846386 41.3966733)"
B-54-38,B-6-227,Marina - Ribes - Marina - Ausiàs Marc,Bus - Bus,54 - 6,Exchange,02:52,True,"LINESTRING (2.1827784 41.3977843, 2.183301 41.3973866, 2.1833437 41.3974174, 2.1834224 41.3974689, 2.183456 41.3974418, 2.1836148 41.3973189, 2.1836374 41.3973012, 2.1837763 41.3972408, 2.183817 41.3972179, 2.1838546 41.3972452, 2.1838978 41.3972766, 2.1843067 41.3969251, 2.1846386 41.3966733)"
B-V21-38,B-6-227,Marina - Ribes - Marina - Ausiàs Marc,Bus - Bus,V21 - 6,Exchange,02:52,True,"LINESTRING (2.1827784 41.3977843, 2.183301 41.3973866, 2.1833437 41.3974174, 2.1834224 41.3974689, 2.183456 41.3974418, 2.1836148 41.3973189, 2.1836374 41.3973012, 2.1837763 41.3972408, 2.183817 41.3972179, 2.1838546 41.3972452, 2.1838978 41.3972766, 2.1843067 41.3969251, 2.1846386 41.3966733)"
SB-38,B-V21-227,Marina - Ribes - Marina - Ausiàs Marc,Bus - Bus,IU Stop - V21,Exchange,02:52,True,"LINESTRING (2.1827784 41.3977843, 2.183301 41.3973866, 2.1833437 41.3974174, 2.1834224 41.3974689, 2.183456 41.3974418, 2.1836148 41.3973189, 2.1836374 41.3973012, 2.1837763 41.3972408, 2.183817 41.3972179, 2.1838546 41.3972452, 2.1838978 41.3972766, 2.1843067 41.3969251, 2.1846386 41.3966733)"
B-6-38,B-V21-227,Marina - Ribes - Marina - Ausiàs Marc,Bus - Bus,6 - V21,Exchange,02:52,True,"LINESTRING (2.1827784 41.3977843, 2.183301 41.3973866, 2.1833437 41.3974174, 2.1834224 41.3974689, 2.183456 41.3974418, 2.1836148 41.3973189, 2.1836374 41.3973012, 2.1837763 41.3972408, 2.183817 41.3972179, 2.1838546 41.3972452, 2.1838978 41.3972766, 2.1843067 41.3969251, 2.1846386 41.3966733)"
B-54-38,B-V21-227,Marina - Ribes - Marina - Ausiàs Marc,Bus - Bus,54 - V21,Exchange,02:52,True,"LINESTRING (2.1827784 41.3977843, 2.183301 41.3973866, 2.1833437 41.3974174, 2.1834224 41.3974689, 2.183456 41.3974418, 2.1836148 41.3973189, 2.1836374 41.3973012, 2.1837763 41.3972408, 2.183817 41.3972179, 2.1838546 41.3972452, 2.1838978 41.3972766, 2.1843067 41.3969251, 2.1846386 41.3966733)"
B-V21-38,B-V21-227,Marina - Ribes - Marina - Ausiàs Marc,Bus - Bus,V21 - V21,Exchange,02:52,True,"LINESTRING (2.1827784 41.3977843, 2.183301 41.3973866, 2.1833437 41.3974174, 2.1834224 41.3974689, 2.183456 41.3974418, 2.1836148 41.3973189, 2.1836374 41.3973012, 2.1837763 41.3972408, 2.183817 41.3972179, 2.1838546 41.3972452, 2.1838978 41.3972766, 2.1843067 41.3969251, 2.1846386 41.3966733)"
SB-149,B-39-230,Gran Via - Llúria - Llúria - Urquinaona,Bus - Bus,IU Stop - 39,Exchange,04:25,True,"LINESTRING (2.1716863 41.3918869, 2.1716211 41.3918346, 2.1715676 41.3917904, 2.171498 41.3917272, 2.1714287 41.3916619, 2.1714136 41.3916454, 2.1713941 41.3916242, 2.1713344 41.3915714, 2.1712007 41.3914659, 2.1711992 41.3914613, 2.1711981 41.3914536, 2.1712021 41.391446, 2.1712102 41.39144, 2.1711501 41.3913994, 2.1711749 41.3913813, 2.1711911 41.3913696, 2.1712824 41.3912989, 2.1713879 41.3912155, 2.1714114 41.3911973, 2.1715629 41.391083, 2.1720559 41.3907095, 2.1720984 41.3906773, 2.1722992 41.3905252, 2.1724953 41.3903772, 2.1725425 41.3904124, 2.1725545 41.3904218, 2.1731215 41.3900032, 2.173276 41.3898713)"
SB-321,B-39-230,Llúria - Gran Via - Llúria - Urquinaona,Bus - Bus,IU Stop - 39,Exchange,04:59,True,"LINESTRING (2.1700306 41.3923297, 2.1700788 41.3922914, 2.1708431 41.391732, 2.1708243 41.3917173, 2.1707702 41.3916812, 2.1708555 41.3916185, 2.1708729 41.3916066, 2.1709165 41.3915739, 2.1709769 41.3915294, 2.1710854 41.391447, 2.1711501 41.3913994, 2.1711749 41.3913813, 2.1711911 41.3913696, 2.1712824 41.3912989, 2.1713879 41.3912155, 2.1714114 41.3911973, 2.1715629 41.391083, 2.1720559 41.3907095, 2.1720984 41.3906773, 2.1722992 41.3905252, 2.1724953 41.3903772, 2.1725425 41.3904124, 2.1725545 41.3904218, 2.1731215 41.3900032, 2.173276 41.3898713)"
B-7-149,B-39-230,Gran Via - Llúria - Llúria - Urquinaona,Bus - Bus,7 - 39,Exchange,04:25,True,"LINESTRING (2.1716863 41.3918869, 2.1716211 41.3918346, 2.1715676 41.3917904, 2.171498 41.3917272, 2.1714287 41.3916619, 2.1714136 41.3916454, 2.1713941 41.3916242, 2.1713344 41.3915714, 2.1712007 41.3914659, 2.1711992 41.3914613, 2.1711981 41.3914536, 2.1712021 41.391446, 2.1712102 41.39144, 2.1711501 41.3913994, 2.1711749 41.3913813, 2.1711911 41.3913696, 2.1712824 41.3912989, 2.1713879 41.3912155, 2.1714114 41.3911973, 2.1715629 41.391083, 2.1720559 41.3907095, 2.1720984 41.3906773, 2.1722992 41.3905252, 2.1724953 41.3903772, 2.1725425 41.3904124, 2.1725545 41.3904218, 2.1731215 41.3900032, 2.173276 41.3898713)"
B-H12-149,B-39-230,Gran Via - Llúria - Llúria - Urquinaona,Bus - Bus,H12 - 39,Exchange,04:25,True,"LINESTRING (2.1716863 41.3918869, 2.1716211 41.3918346, 2.1715676 41.3917904, 2.171498 41.3917272, 2.1714287 41.3916619, 2.1714136 41.3916454, 2.1713941 41.3916242, 2.1713344 41.3915714, 2.1712007 41.3914659, 2.1711992 41.3914613, 2.1711981 41.3914536, 2.1712021 41.391446, 2.1712102 41.39144, 2.1711501 41.3913994, 2.1711749 41.3913813, 2.1711911 41.3913696, 2.1712824 41.3912989, 2.1713879 41.3912155, 2.1714114 41.3911973, 2.1715629 41.391083, 2.1720559 41.3907095, 2.1720984 41.3906773, 2.1722992 41.3905252, 2.1724953 41.3903772, 2.1725425 41.3904124, 2.1725545 41.3904218, 2.1731215 41.3900032, 2.173276 41.3898713)"
B-D50-149,B-39-230,Gran Via - Llúria - Llúria - Urquinaona,Bus - Bus,D50 - 39,Exchange,04:25,True,"LINESTRING (2.1716863 41.3918869, 2.1716211 41.3918346, 2.1715676 41.3917904, 2.171498 41.3917272, 2.1714287 41.3916619, 2.1714136 41.3916454, 2.1713941 41.3916242, 2.1713344 41.3915714, 2.1712007 41.3914659, 2.1711992 41.3914613, 2.1711981 41.3914536, 2.1712021 41.391446, 2.1712102 41.39144, 2.1711501 41.3913994, 2.1711749 41.3913813, 2.1711911 41.3913696, 2.1712824 41.3912989, 2.1713879 41.3912155, 2.1714114 41.3911973, 2.1715629 41.391083, 2.1720559 41.3907095, 2.1720984 41.3906773, 2.1722992 41.3905252, 2.1724953 41.3903772, 2.1725425 41.3904124, 2.1725545 41.3904218, 2.1731215 41.3900032, 2.173276 41.3898713)"
B-39-321,B-39-230,Llúria - Gran Via - Llúria - Urquinaona,Bus - Bus,39 - 39,Exchange,04:59,True,"LINESTRING (2.1700306 41.3923297, 2.1700788 41.3922914, 2.1708431 41.391732, 2.1708243 41.3917173, 2.1707702 41.3916812, 2.1708555 41.3916185, 2.1708729 41.3916066, 2.1709165 41.3915739, 2.1709769 41.3915294, 2.1710854 41.391447, 2.1711501 41.3913994, 2.1711749 41.3913813, 2.1711911 41.3913696, 2.1712824 41.3912989, 2.1713879 41.3912155, 2.1714114 41.3911973, 2.1715629 41.391083, 2.1720559 41.3907095, 2.1720984 41.3906773, 2.1722992 41.3905252, 2.1724953 41.3903772, 2.1725425 41.3904124, 2.1725545 41.3904218, 2.1731215 41.3900032, 2.173276 41.3898713)"
B-47-321,B-39-230,Llúria - Gran Via - Llúria - Urquinaona,Bus - Bus,47 - 39,Exchange,04:59,True,"LINESTRING (2.1700306 41.3923297, 2.1700788 41.3922914, 2.1708431 41.391732, 2.1708243 41.3917173, 2.1707702 41.3916812, 2.1708555 41.3916185, 2.1708729 41.3916066, 2.1709165 41.3915739, 2.1709769 41.3915294, 2.1710854 41.391447, 2.1711501 41.3913994, 2.1711749 41.3913813, 2.1711911 41.3913696, 2.1712824 41.3912989, 2.1713879 41.3912155, 2.1714114 41.3911973, 2.1715629 41.391083, 2.1720559 41.3907095, 2.1720984 41.3906773, 2.1722992 41.3905252, 2.1724953 41.3903772, 2.1725425 41.3904124, 2.1725545 41.3904218, 2.1731215 41.3900032, 2.173276 41.3898713)"
B-B24-321,B-39-230,Llúria - Gran Via - Llúria - Urquinaona,Bus - Bus,B24 - 39,Exchange,04:59,True,"LINESTRING (2.1700306 41.3923297, 2.1700788 41.3922914, 2.1708431 41.391732, 2.1708243 41.3917173, 2.1707702 41.3916812, 2.1708555 41.3916185, 2.1708729 41.3916066, 2.1709165 41.3915739, 2.1709769 41.3915294, 2.1710854 41.391447, 2.1711501 41.3913994, 2.1711749 41.3913813, 2.1711911 41.3913696, 2.1712824 41.3912989, 2.1713879 41.3912155, 2.1714114 41.3911973, 2.1715629 41.391083, 2.1720559 41.3907095, 2.1720984 41.3906773, 2.1722992 41.3905252, 2.1724953 41.3903772, 2.1725425 41.3904124, 2.1725545 41.3904218, 2.1731215 41.3900032, 2.173276 41.3898713)"
B-V17-321,B-39-230,Llúria - Gran Via - Llúria - Urquinaona,Bus - Bus,V17 - 39,Exchange,04:59,True,"LINESTRING (2.1700306 41.3923297, 2.1700788 41.3922914, 2.1708431 41.391732, 2.1708243 41.3917173, 2.1707702 41.3916812, 2.1708555 41.3916185, 2.1708729 41.3916066, 2.1709165 41.3915739, 2.1709769 41.3915294, 2.1710854 41.391447, 2.1711501 41.3913994, 2.1711749 41.3913813, 2.1711911 41.3913696, 2.1712824 41.3912989, 2.1713879 41.3912155, 2.1714114 41.3911973, 2.1715629 41.391083, 2.1720559 41.3907095, 2.1720984 41.3906773, 2.1722992 41.3905252, 2.1724953 41.3903772, 2.1725425 41.3904124, 2.1725545 41.3904218, 2.1731215 41.3900032, 2.173276 41.3898713)"
SB-149,B-47-230,Gran Via - Llúria - Llúria - Urquinaona,Bus - Bus,IU Stop - 47,Exchange,04:25,True,"LINESTRING (2.1716863 41.3918869, 2.1716211 41.3918346, 2.1715676 41.3917904, 2.171498 41.3917272, 2.1714287 41.3916619, 2.1714136 41.3916454, 2.1713941 41.3916242, 2.1713344 41.3915714, 2.1712007 41.3914659, 2.1711992 41.3914613, 2.1711981 41.3914536, 2.1712021 41.391446, 2.1712102 41.39144, 2.1711501 41.3913994, 2.1711749 41.3913813, 2.1711911 41.3913696, 2.1712824 41.3912989, 2.1713879 41.3912155, 2.1714114 41.3911973, 2.1715629 41.391083, 2.1720559 41.3907095, 2.1720984 41.3906773, 2.1722992 41.3905252, 2.1724953 41.3903772, 2.1725425 41.3904124, 2.1725545 41.3904218, 2.1731215 41.3900032, 2.173276 41.3898713)"
SB-321,B-47-230,Llúria - Gran Via - Llúria - Urquinaona,Bus - Bus,IU Stop - 47,Exchange,04:59,True,"LINESTRING (2.1700306 41.3923297, 2.1700788 41.3922914, 2.1708431 41.391732, 2.1708243 41.3917173, 2.1707702 41.3916812, 2.1708555 41.3916185, 2.1708729 41.3916066, 2.1709165 41.3915739, 2.1709769 41.3915294, 2.1710854 41.391447, 2.1711501 41.3913994, 2.1711749 41.3913813, 2.1711911 41.3913696, 2.1712824 41.3912989, 2.1713879 41.3912155, 2.1714114 41.3911973, 2.1715629 41.391083, 2.1720559 41.3907095, 2.1720984 41.3906773, 2.1722992 41.3905252, 2.1724953 41.3903772, 2.1725425 41.3904124, 2.1725545 41.3904218, 2.1731215 41.3900032, 2.173276 41.3898713)"
B-7-149,B-47-230,Gran Via - Llúria - Llúria - Urquinaona,Bus - Bus,7 - 47,Exchange,04:25,True,"LINESTRING (2.1716863 41.3918869, 2.1716211 41.3918346, 2.1715676 41.3917904, 2.171498 41.3917272, 2.1714287 41.3916619, 2.1714136 41.3916454, 2.1713941 41.3916242, 2.1713344 41.3915714, 2.1712007 41.3914659, 2.1711992 41.3914613, 2.1711981 41.3914536, 2.1712021 41.391446, 2.1712102 41.39144, 2.1711501 41.3913994, 2.1711749 41.3913813, 2.1711911 41.3913696, 2.1712824 41.3912989, 2.1713879 41.3912155, 2.1714114 41.3911973, 2.1715629 41.391083, 2.1720559 41.3907095, 2.1720984 41.3906773, 2.1722992 41.3905252, 2.1724953 41.3903772, 2.1725425 41.3904124, 2.1725545 41.3904218, 2.1731215 41.3900032, 2.173276 41.3898713)"
B-H12-149,B-47-230,Gran Via - Llúria - Llúria - Urquinaona,Bus - Bus,H12 - 47,Exchange,04:25,True,"LINESTRING (2.1716863 41.3918869, 2.1716211 41.3918346, 2.1715676 41.3917904, 2.171498 41.3917272, 2.1714287 41.3916619, 2.1714136 41.3916454, 2.1713941 41.3916242, 2.1713344 41.3915714, 2.1712007 41.3914659, 2.1711992 41.3914613, 2.1711981 41.3914536, 2.1712021 41.391446, 2.1712102 41.39144, 2.1711501 41.3913994, 2.1711749 41.3913813, 2.1711911 41.3913696, 2.1712824 41.3912989, 2.1713879 41.3912155, 2.1714114 41.3911973, 2.1715629 41.391083, 2.1720559 41.3907095, 2.1720984 41.3906773, 2.1722992 41.3905252, 2.1724953 41.3903772, 2.1725425 41.3904124, 2.1725545 41.3904218, 2.1731215 41.3900032, 2.173276 41.3898713)"
