origen,dest,tram,last_line,type,time,directed,cost,geometry
B-113-21,Zona Universitària,Palau Reial - Zona Universitària,113,Egress,6.4,True,14.4,"LINESTRING (2.1151544 41.3853538, 2.1162323 41.3856293, 2.1164731 41.385692, 2.1165802 41.3857199, 2.1165895 41.3857045, 2.1166307 41.3856103, 2.1166896 41.3854908, 2.1167033 41.3854627, 2.1167379 41.3853923, 2.1166843 41.3853787, 2.1160454 41.3852169, 2.1160781 41.3851422, 2.1165926 41.3839578, 2.1165408 41.3839455, 2.1165179 41.383924, 2.1164941 41.3839179, 2.1148456 41.3834979, 2.1148024 41.3834869, 2.1147649 41.3834773, 2.1147041 41.3834619, 2.1147272 41.3834039, 2.1147478 41.3833586, 2.1137121 41.3830792, 2.11306 41.382912)"
B-H6-21,Zona Universitària,Palau Reial - Zona Universitària,H6,Egress,6.4,True,14.4,"LINESTRING (2.1151544 41.3853538, 2.1162323 41.3856293, 2.1164731 41.385692, 2.1165802 41.3857199, 2.1165895 41.3857045, 2.1166307 41.3856103, 2.1166896 41.3854908, 2.1167033 41.3854627, 2.1167379 41.3853923, 2.1166843 41.3853787, 2.1160454 41.3852169, 2.1160781 41.3851422, 2.1165926 41.3839578, 2.1165408 41.3839455, 2.1165179 41.383924, 2.1164941 41.3839179, 2.1148456 41.3834979, 2.1148024 41.3834869, 2.1147649 41.3834773, 2.1147041 41.3834619, 2.1147272 41.3834039, 2.1147478 41.3833586, 2.1137121 41.3830792, 2.11306 41.382912)"
B-M14-21,Zona Universitària,Palau Reial - Zona Universitària,M14,Egress,6.4,True,14.4,"LINESTRING (2.1151544 41.3853538, 2.1162323 41.3856293, 2.1164731 41.385692, 2.1165802 41.3857199, 2.1165895 41.3857045, 2.1166307 41.3856103, 2.1166896 41.3854908, 2.1167033 41.3854627, 2.1167379 41.3853923, 2.1166843 41.3853787, 2.1160454 41.3852169, 2.1160781 41.3851422, 2.1165926 41.3839578, 2.1165408 41.3839455, 2.1165179 41.383924, 2.1164941 41.3839179, 2.1148456 41.3834979, 2.1148024 41.3834869, 2.1147649 41.3834773, 2.1147041 41.3834619, 2.1147272 41.3834039, 2.1147478 41.3833586, 2.1137121 41.3830792, 2.11306 41.382912)"
B-175-21,Zona Universitària,Palau Reial - Zona Universitària,175,Egress,6.4,True,14.4,"LINESTRING (2.1151544 41.3853538, 2.1162323 41.3856293, 2.1164731 41.385692, 2.1165802 41.3857199, 2.1165895 41.3857045, 2.1166307 41.3856103, 2.1166896 41.3854908, 2.1167033 41.3854627, 2.1167379 41.3853923, 2.1166843 41.3853787, 2.1160454 41.3852169, 2.1160781 41.3851422, 2.1165926 41.3839578, 2.1165408 41.3839455, 2.1165179 41.383924, 2.1164941 41.3839179, 2.1148456 41.3834979, 2.1148024 41.3834869, 2.1147649 41.3834773, 2.1147041 41.3834619, 2.1147272 41.3834039, 2.1147478 41.3833586, 2.1137121 41.3830792, 2.11306 41.382912)"
B-67-250,Zona Universitària,Diagonal - Manuel Ballbé - Zona Universitària,67,Egress,5.15,True,11.5875,"LINESTRING (2.1100072 41.3842118, 2.1100741 41.3840704, 2.1107293 41.3842355, 2.110736 41.3842209, 2.1107803 41.384125, 2.1109022 41.3841559, 2.1110729 41.3841993, 2.1115372 41.384317, 2.1116123 41.3843362, 2.1117845 41.3843799, 2.1118647 41.3843577, 2.1119397 41.3843311, 2.1120252 41.3842821, 2.1120583 41.3842411, 2.112072 41.3842103, 2.112135 41.3840673, 2.1121433 41.3840493, 2.1121545 41.3840242, 2.1125027 41.3832385, 2.1126008 41.3830536, 2.1126212 41.3830237, 2.1127049 41.3829015, 2.1127591 41.3829134, 2.112887 41.3829412, 2.1130296 41.3829722, 2.11306 41.382912, 2.1137121 41.3830792, 2.1147478 41.3833586)"
B-M14-250,Zona Universitària,Diagonal - Manuel Ballbé - Zona Universitària,M14,Egress,5.15,True,11.5875,"LINESTRING (2.1100072 41.3842118, 2.1100741 41.3840704, 2.1107293 41.3842355, 2.110736 41.3842209, 2.1107803 41.384125, 2.1109022 41.3841559, 2.1110729 41.3841993, 2.1115372 41.384317, 2.1116123 41.3843362, 2.1117845 41.3843799, 2.1118647 41.3843577, 2.1119397 41.3843311, 2.1120252 41.3842821, 2.1120583 41.3842411, 2.112072 41.3842103, 2.112135 41.3840673, 2.1121433 41.3840493, 2.1121545 41.3840242, 2.1125027 41.3832385, 2.1126008 41.3830536, 2.1126212 41.3830237, 2.1127049 41.3829015, 2.1127591 41.3829134, 2.112887 41.3829412, 2.1130296 41.3829722, 2.11306 41.382912, 2.1137121 41.3830792, 2.1147478 41.3833586)"
B-V1-296,Zona Universitària,Av Doctor Marañón - Baldiri i Reixac - Zona Universitària,V1,Egress,2.4166666666666665,True,5.4375,"LINESTRING (2.1146831 41.3816589, 2.1144758 41.3817659, 2.1140394 41.3820575, 2.1135316 41.3824542, 2.113305 41.3826758, 2.1131975 41.3827979, 2.1130879 41.3828568, 2.11306 41.382912, 2.1137121 41.3830792, 2.1147478 41.3833586)"
B-7-310,Zona Universitària,Diagonal - Av Doctor Marañón - Zona Universitària,7,Egress,3.55,True,7.9875,"LINESTRING (2.1114783 41.3841797, 2.111672 41.3842287, 2.1118615 41.3842766, 2.111909 41.3842739, 2.1119478 41.3842611, 2.1119651 41.384223, 2.1119713 41.3842094, 2.1119819 41.3841861, 2.112072 41.3842103, 2.112135 41.3840673, 2.1121433 41.3840493, 2.1121545 41.3840242, 2.1125027 41.3832385, 2.1126008 41.3830536, 2.1126212 41.3830237, 2.1127049 41.3829015, 2.1127591 41.3829134, 2.112887 41.3829412, 2.1130296 41.3829722, 2.11306 41.382912, 2.1137121 41.3830792, 2.1147478 41.3833586)"
B-67-310,Zona Universitària,Diagonal - Av Doctor Marañón - Zona Universitària,67,Egress,3.55,True,7.9875,"LINESTRING (2.1114783 41.3841797, 2.111672 41.3842287, 2.1118615 41.3842766, 2.111909 41.3842739, 2.1119478 41.3842611, 2.1119651 41.384223, 2.1119713 41.3842094, 2.1119819 41.3841861, 2.112072 41.3842103, 2.112135 41.3840673, 2.1121433 41.3840493, 2.1121545 41.3840242, 2.1125027 41.3832385, 2.1126008 41.3830536, 2.1126212 41.3830237, 2.1127049 41.3829015, 2.1127591 41.3829134, 2.112887 41.3829412, 2.1130296 41.3829722, 2.11306 41.382912, 2.1137121 41.3830792, 2.1147478 41.3833586)"
B-175-310,Zona Universitària,Diagonal - Av Doctor Marañón - Zona Universitària,175,Egress,3.55,True,7.9875,"LINESTRING (2.1114783 41.3841797, 2.111672 41.3842287, 2.1118615 41.3842766, 2.111909 41.3842739, 2.1119478 41.3842611, 2.1119651 41.384223, 2.1119713 41.3842094, 2.1119819 41.3841861, 2.112072 41.3842103, 2.112135 41.3840673, 2.1121433 41.3840493, 2.1121545 41.3840242, 2.1125027 41.3832385, 2.1126008 41.3830536, 2.1126212 41.3830237, 2.1127049 41.3829015, 2.1127591 41.3829134, 2.112887 41.3829412, 2.1130296 41.3829722, 2.11306 41.382912, 2.1137121 41.3830792, 2.1147478 41.3833586)"
