geometry,stop_id
"POLYGON ((2.105526566717278 41.34531208768792, 2.10631957534667 41.346091387363685, 2.1067476434923136 41.34598306910857, 2.1067704377458996 41.344411369003936, 2.1066525339718236 41.344254090990646, 2.1048720366745837 41.34346539287166, 2.1045339709971516 41.343696385880314, 2.105526566717278 41.34531208768792))",111
"POLYGON ((2.1097830084837805 41.35085201162504, 2.109773322519077 41.352239352483494, 2.1101233738332428 41.35239986772859, 2.111833704012482 41.35172448713007, 2.113585484677991 41.35209195166761, 2.1138886209560255 41.351914405110264, 2.1138537166181646 41.35072870513869, 2.1137372144591704 41.35057800179616, 2.1102194981271714 41.349009226982375, 2.1099620008954623 41.349016700451, 2.1082969029112864 41.34988929851766, 2.1083111410200663 41.35019201231613, 2.1097830084837805 41.35085201162504))",112
"POLYGON ((2.102362388582453 41.35847197666908, 2.101189949707119 41.35909866956253, 2.101183464756474 41.359388939212636, 2.1025787659813346 41.36018924096211, 2.1028487616276013 41.36019939803831, 2.1046490643310434 41.3593660961287, 2.1047630061006375 41.35921253981246, 2.104728364834784 41.35600006897035, 2.104399943783608 41.355835803828356, 2.1024449480263456 41.35642930236962, 2.1008284575130243 41.357486183682035, 2.1008608672003692 41.35777487017959, 2.102362388582453 41.35847197666908))",113
"POLYGON ((2.09896979997597 41.36297712877342, 2.0971677327900875 41.3636210283757, 2.0971420593586156 41.36393589960597, 2.0990213618974938 41.36483450170174, 2.0992771360153264 41.36483474111644, 2.101003290142408 41.36401389596892, 2.1028293682001835 41.36327059440103, 2.102839162159409 41.36295782025224, 2.1009733648933735 41.36211032225998, 2.1007188683812803 41.36211390634696, 2.09896979997597 41.36297712877342))",114
"POLYGON ((2.102535036132382 41.36761927199983, 2.102376872864831 41.369151079916946, 2.1027005710109545 41.36933126568146, 2.1046134217824766 41.368778951620804, 2.106320024245633 41.36796764977335, 2.1063141645443615 41.367660252468106, 2.1046713505431427 41.366928053921214, 2.10470299768042 41.36545401358143, 2.104256540826423 41.365361375115704, 2.102535036132382 41.36761927199983))",115
"POLYGON ((2.109789081069843 41.36758986714781, 2.1081486593133336 41.36685960617907, 2.1078183831142696 41.367102761945425, 2.109564377857983 41.36945006502383, 2.1098892323425638 41.369519440043554, 2.111697035417471 41.36876203826802, 2.113207946310602 41.36781194617126, 2.1131982421510305 41.367530040435184, 2.1117767434407164 41.36672284220691, 2.111498694460647 41.36671754409883, 2.109789081069843 41.36758986714781))",116
"POLYGON ((2.1172104051057623 41.36792050814325, 2.117020642441663 41.36648114433058, 2.116575892372042 41.36640865056799, 2.1149581880668205 41.368507747649396, 2.1150372460143423 41.36875048904797, 2.1168097484284156 41.36959429101844, 2.117176610684062 41.36944500826811, 2.1172104051057623 41.36792050814325))",117
"POLYGON ((2.1258222615915514 41.367203621669184, 2.1256992650431297 41.36736040858739, 2.125692260010525 41.36873480852353, 2.1260382097740123 41.36889668324823, 2.1277220317439247 41.36826345757919, 2.129394629827506 41.36895274780942, 2.1297199164298113 41.368709233158114, 2.1281078111732388 41.36645573602373, 2.1277811582574686 41.36638372359203, 2.1258222615915514 41.367203621669184))",118
"POLYGON ((2.132807817763748 41.372001659174686, 2.1327977434775582 41.37349251134443, 2.1331566383210485 41.37364934585713, 2.134965541260888 41.372861244023916, 2.1350551251769105 41.37261817122178, 2.13337431996887 41.370326774195334, 2.1329262235802697 41.3704038594744, 2.132807817763748 41.372001659174686))",119
"POLYGON ((2.1345648293603845 41.37592936141604, 2.1345636269026813 41.37722177397452, 2.1349033026527073 41.377385373412025, 2.1366587061583395 41.37677307192953, 2.1367973049897566 41.37661383198105, 2.136932734603873 41.37356091609843, 2.1365799442751507 41.37339467393109, 2.1346672274969727 41.374174612391336, 2.1327301749069 41.37490134356513, 2.132728052253793 41.375223050254256, 2.1345648293603845 41.37592936141604))",120
