service_id,date,exception_type
38500054-FEINERS,20260707,1
38500054-FEINERS,20260708,1
38500054-FEINERS,20260710,1
38500054-FEINERS,20260713,1
38500054-FEINERS,20260714,1
38500054-FEINERS,20260715,1
38500054-FEINERS,20260717,1
38500054-FEINERS,20260720,1
38500054-FEINERS,20260721,1
38500054-FEINERS,20260722,1
4700366-FESTIUS,20260624,1
4700366-FESTIUS,20260628,1
4700366-FESTIUS,20260705,1
4700366-FESTIUS,20260712,1
4700366-FESTIUS,20260719,1
4700366-SABADOS,20260627,1
4700366-SABADOS,20260704,1
4700366-SABADOS,20260711,1
4700366-SABADOS,20260718,1
4700848-FEINERS,20260622,1
4700848-FEINERS,20260623,1
4700848-FEINERS,20260625,1
4700848-FEINERS,20260626,1
4700848-FEINERS,20260629,1
4700848-FEINERS,20260630,1
4700848-FEINERS,20260701,1
4700848-FEINERS,20260702,1
4700848-FEINERS,20260703,1
4700848-FEINERS,20260706,1
4700848-FEINERS,20260707,1
4700848-FEINERS,20260708,1
4700848-FEINERS,20260709,1
4700848-FEINERS,20260710,1
4700848-FEINERS,20260713,1
4700848-FEINERS,20260714,1
4700848-FEINERS,20260715,1
4700848-FEINERS,20260716,1
4700848-FEINERS,20260717,1
4700848-FEINERS,20260720,1
4700848-FEINERS,20260721,1
4700848-FEINERS,20260722,1
4700888-FEINERS,20260622,1
4700888-FEINERS,20260623,1
4700888-FEINERS,20260625,1
4700888-FEINERS,20260626,1
4700888-FEINERS,20260629,1
4700888-FEINERS,20260630,1
4700888-FEINERS,20260701,1
4700888-FEINERS,20260702,1
4700888-FEINERS,20260703,1
4700888-FEINERS,20260706,1
4700888-FEINERS,20260707,1
4700888-FEINERS,20260708,1
4700888-FEINERS,20260709,1
4700888-FEINERS,20260710,1
4700888-FEINERS,20260713,1
4700888-FEINERS,20260714,1
4700888-FEINERS,20260715,1
4700888-FEINERS,20260716,1
4700888-FEINERS,20260717,1
4700888-FEINERS,20260720,1
4700888-FEINERS,20260721,1
4700888-FEINERS,20260722,1
4800848-FEINERS,20260622,1
4800848-FEINERS,20260623,1
4800848-FEINERS,20260625,1
4800848-FEINERS,20260626,1
4800848-FEINERS,20260629,1
4800848-FEINERS,20260630,1
4800848-FEINERS,20260701,1
4800848-FEINERS,20260702,1
4800848-FEINERS,20260703,1
4800848-FEINERS,20260706,1
4800848-FEINERS,20260707,1
4800848-FEINERS,20260708,1
4800848-FEINERS,20260709,1
4800848-FEINERS,20260710,1
4800848-FEINERS,20260713,1
4800848-FEINERS,20260714,1
4800848-FEINERS,20260715,1
4800848-FEINERS,20260716,1
4800848-FEINERS,20260717,1
4800848-FEINERS,20260720,1
4800848-FEINERS,20260721,1
4800848-FEINERS,20260722,1
4800849-FEINERS,20260622,1
4800849-FEINERS,20260623,1
4800849-FEINERS,20260625,1
4800849-FEINERS,20260626,1
4800849-FEINERS,20260629,1
4800849-FEINERS,20260630,1
4800849-FEINERS,20260701,1
4800849-FEINERS,20260702,1
4800849-FEINERS,20260703,1
4800849-FEINERS,20260706,1
4800849-FEINERS,20260707,1
4800849-FEINERS,20260708,1
4800849-FEINERS,20260709,1
