stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
10421,3250,C. DE LA MERCÈ 63,,41.49626,2.35739,,,0,,,
10422,3260,C. DE LA MERCÈ 1,,41.49427,2.35336,,,0,,,
10428,8967,LA PLANA,,41.4924,2.32347,,,0,,,
10429,8943,PG. DE PAU CLARIS / PLAÇA RAMON I CAJAL,,41.486235933268574,2.3100766521843052,,,0,,,
10510,3929,(AJUNTAMENT) AV. PARE JAUME CATALÀ,,41.5261594041727,2.39359565847213,,,0,,,
10513,3931,CTRA. D´ARGENTONA (EL NOU GARDEN),,41.51686,2.39667,,,0,,,
10514,9694,(AGRÍCOLA DE CABRERA) AV. DE L´ONZE DE SETEMBRE,,41.5214941117171,2.40056670231373,,,0,,,
10515,9695,(AGRÍCOLA DE CABRERA) AV. DE L´ONZE DE SETEMBRE,,41.52148,2.40034,,,0,,,
10520,582,(ST. JOAN DE MUNT) C. POMPEU FABRA/C. ST. JOAN,,41.52949,2.39183,,,0,,,
10521,580,C. DE SANTA ROSA DE LIMA/AV. DE MONTEVIDEO,,41.5044764679914,2.39147347622563,,,0,,,
10523,579,C. SANTA EULÀLIA/C. SANT ARTUR (ESCOLA DEL MAR),,41.503818,2.386453,,,0,,,
10525,583,(PLAÇA DEL POBLE) C. ANSELM CLAVÉ,,41.52799,2.3926,,,0,,,
10539,9327,ROTONDA VALLBELLIDA,,41.49112930669254,2.3202061596882686,,,0,,,
10540,9473,CAN LLAURADOR,,41.49483,2.32279,,,0,,,
10542,8681,CAMI DEL MIG (SINDICAT DE CABRERA),,41.521098,2.40181,,,0,,,
10543,3235,TORRAS I BAGES/TORRENT CASTELLS (BARRI DEL REMEI),,41.50036,2.33949,,,0,,,
10792,9103,CAMÍ D´ALELLA/AV. JOAN XXIII (CELLA VINARIA),,41.4886938682407,2.30981515683314,,,0,,,
11660,219,AV. DELS PAÏSOS CATALANS (FONT DE CAN CINTO),,41.58063,2.5075,,,0,,,
11664,221,CENTRE CÍVIC,,41.57828,2.51166,,,0,,,
11665,222,AV. DE MONTALTNOU,,41.57527,2.51533,,,0,,,
12045,1409,CAMÍ D`ALELLA-GARROFERS,,41.4878162246517,2.31670043937204,,,0,,,
12046,1324,AVDA. JOAN XXIII / C. EL BERGUEDÀ,,41.485694884815,2.30989489883886,,,0,,,
12047,3119,GRAN VIA DE LES CORTS CATALANES / SARDENYA,,41.3987605779728,2.18033877219692,,,0,,,
12049,3115,"RDA. DE ST. PERE, 19-21",,41.389557703030164,2.174205639246111,,,0,,,
12050,3116,GRAN VIA DE LES CORTS CATALENES / C. DE NÀPOLS,,41.3960629677035,2.17720270154014,,,0,,,
12051,3117,GRAN VIA DE LES CORTS CATALANES / C. DE LA MARINA,,41.3986186860257,2.1806515825493,,,0,,,
