route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020341,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020357,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020251,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020252,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020253,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020254,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020255,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020256,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020257,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020258,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020259,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020260,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020261,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020262,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020263,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020264,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020265,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020266,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020268,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020269,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020270,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020271,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020272,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020273,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020274,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020276,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020275,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020277,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020278,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020279,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020280,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020281,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020282,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020340,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020330,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020331,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020332,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020333,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020334,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020335,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020336,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020337,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020338,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020339,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020345,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020344,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020343,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020342,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020346,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020347,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020348,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020349,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020350,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020351,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020352,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020353,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020354,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020356,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020355,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020393,REC. CURT,,0,,0161_0002,1
161,16100242-FEINERS,161000020394,REC. CURT,,0,,0161_0002,1
161,16100242-DISSABTES DIUMENGE I FESTIUS ESTIU,161000020395,REC. CURT,,0,,0161_0002,1
266,26600273-DISSABTES,266000020010,BCN-TEIA,,1,,0266_0002,1
266,26600273-DISSABTES,266000020011,BCN-TEIA,,1,,0266_0002,1
266,26600334-DISSABTES,266000020012,BCN-TEIA,,1,,0266_0002,1
266,26600334-DISSABTES,266000020013,BCN-TEIA,,1,,0266_0002,1
266,26600334-DISSABTES,266000020014,BCN-TEIA,,1,,0266_0002,1
266,26600434-FEINERS,266000010061,TEIA-BCN,,0,,0266_0001,1
266,26600434-FEINERS,266000020030,BCN-TEIA,,1,,0266_0002,1
266,26600434-FEINERS,266000020031,BCN-TEIA,,1,,0266_0002,1
266,26600434-FEINERS,266000020032,BCN-TEIA,,1,,0266_0002,1
266,26600434-FEINERS,266000020033,BCN-TEIA,,1,,0266_0002,1
